iter	phase	hyp	bk	bd_half	bq	ratio	keep	notes
0	baseline	unmodified	8	128	32	0.273	Y	BK=8 inherited from D=256
1	P1	BK=4 more occupancy	4	128	32	0.000	N	TK=0 compile error: BK<8 invalid
2	P1	BK=12 fewer K-tiles	12	128	32	0.418	N	+55% vs BK=8 baseline
3	P1	BK=16 half K-tiles vs BK=8	16	128	32	0.457	N	+9% vs BK=12
4	P1	BK=20	20	128	32	0.490	N	+7% vs BK=16
5	P1	BK=24	24	128	32	0.500	N	+2% vs BK=20, diminishing
6	P1	BK=32 1 TG/CU	32	128	32	0.625	N	+25% vs BK=24 despite 1 TG/CU
7	P1	BK=48	48	128	32	0.689	N	+10% vs BK=32, still 1 TG/CU
8	P1	BK=64 max BK	64	128	32	0.679	N	-1.5% vs BK=48 regression — register pressure
9	P1	BK=40 between 32-48	40	128	32	0.618	N	worse than BK=32 and BK=48 — alignment?
10	P1	BK=56	56	128	32	0.611	N	worse than BK=48 — confirms 48 as peak
11	P1	BK=48 no-padding	48	128	32	0.158	N	MFA_NO_PADDING=1 massive regression — bank conflicts
12	P1	BQ=16 WM=2 BK=48	48	128	16	0.527	N	-24% vs BQ=32 — halving warps hurts
13	P1	BQ=16 WM=2 BK=64	64	128	16	0.397	N	BQ=16 path clearly worse
14	P2	BD_HALF=64 BK=8	8	64	32	0.264	N	2x D_SPLITS overwhelms occupancy gain
15	P2	BD_HALF=64 BK=32	32	64	32	0.610	N	better than BD64/BK8 but still < BD128/BK48
16	P2	BD_HALF=64 BK=64	64	64	32	0.773	Y	NEW BEST! N=8192: 0.892x approaching parity
17	P2	BD_HALF=64 BK=48	48	64	32	0.702	N	worse than BK=64
18	P2	BD_HALF=64 BK=128	128	64	32	0.759	N	1 TG/CU hurts small N
19	P2	BD_HALF=64 BK=96	96	64	32	0.784	Y	NEW BEST! N=8192: 0.899x
20	P2	BD_HALF=64 BK=80	80	64	32	0.292	N	massive regression — BK=80 not perf-friendly
21	P2	BD_HALF=64 BK=112	112	64	32	0.758	N	worse than BK=96
22	P2	BD_HALF=32 BK=64	64	32	32	0.667	N	16 D-splits too extreme
23	P2	BD_HALF=32 BK=128	128	32	32	0.799	Y	NEW BEST! N=8192: 0.950x N=4096: 0.921x
24	P2	BD_HALF=32 BK=160	160	32	32	0.000	N	Metal compile fail: BlockLoaderT TCOLS=0 when BK>>BD_HALF
25	P2	BD_HALF=32 BK=96	96	32	32	0.721	N	worse than BK=128 — confirms larger BK better
26	P3	BD_HALF=32 BK=128 BQ=16	128	32	16	0.000	N	Loader TCOLS=0 — BQ=16+BD_HALF=32 incompatible
28	P1	BD_HALF=128 BK=84	84	128	32	0.801	Y	NEW BEST (avg 0.812+0.790)/2 — N=8192: ~0.89x
29	P1	BD_HALF=128 BK=76	76	128	32	0.796	N	similar to BK=84, slightly worse
30	P1	BD_HALF=128 BK=80	80	128	32	0.762	N	worse than BK=84
31	P3	BD32 BK128 BQ64 WM8	128	32	64	0.683	N	BQ=64 WM=8 too many threads
32	P3	commit BD32 BK128 default	128	32	32	0.802	Y	COMMITTED — 2.9x improvement from baseline
33	P3	no unroll	128	32	32	0.439	N	unroll essential — 45% regression without
34	P3	pad=4	128	32	32	0.771	N	slightly worse — bank conflicts
35	P3	pad=16	128	32	32	0.769	N	slightly worse — TGP waste
36	P3	BD64 BK128 reverify	128	64	32	0.763	N	confirmed < BD32 BK128
